Plant_id;X;Y
626;721880.641;4099089.111
23;721880.01;4099092.065
637;721879.118;4099089.13
636;721877.74;4099090.725
20;721877.478;4099083.906
384;721877.464;4099088.385
24;721877.317;4099087.529
395;721876.782;4099092.964
486;721876.549;4099078.829
690;721876.521;4099073.39
638;721875.941;4099098.197
276;721875.553;4099080.675
130;721875.541;4099087.265
627;721875.489;4099093.82
487;721874.97;4099084.133
389;721874.819;4099075.662
22;721874.637;4099094.252
632;721874.596;4099077.883
279;721874.582;4099092.235
495;721873.983;4099092.246
633;721873.941;4099079.673
235;721873.706;4099096.048
129;721873.53;4099076.638
390;721873.5;4099082.194
126;721873.471;4099091.936
127;721873.395;4099097.963
488;721872.88;4099078.237
631;721872.738;4099076.181
231;721872.288;4099076.441
689;721872.259;4099077.083
280;721871.894;4099078.403
286;721871.84;4099087.282
132;721871.727;4099085.668
287;721871.705;4099083.81
382;721871.647;4099097.41
128;721871.44;4099081.408
580;721871.006;4099096.756
490;721870.865;4099076.881
226;721870.857;4099076.592
25;721870.737;4099085.415
628;721870.579;4099096.652
578;721870.444;4099092.881
16;721870.41;4099080.034
230;721870.371;4099096.391
585;721870.145;4099098.802
691;721869.908;4099083.307
Z;721869.787;4099083.45
277;721869.763;4099081.796
493;721869.416;4099093.679
494;721869.187;4099088.321
27;721869.166;4099082.884
278;721869.052;4099095.23
228;721868.996;4099076.621
122;721868.92;4099092.3
386;721868.385;4099078.707
26;721868.378;4099089.818
285;721868.298;4099075.663
123;721868.254;4099085.666
388;721868.223;4099074.487
491;721868.085;4099096.129
227;721868.062;4099084.014
233;721867.8;4099074.596
135;721867.668;4099080.277
489;721867.278;4099073.846
21;721866.787;4099095.656
282;721866.448;4099081.051
288;721866.303;4099088.077
29;721865.993;4099085.726
121;721865.925;4099090.048
289;721865.389;4099084.008
688;721865.262;4099072.541
500;721865.051;4099085.072
692;721864.97;4099087.531
381;721864.805;4099085.795
284;721864.734;4099092.346
229;721864.537;4099076.335
18;721864.39;4099079.68
383;721864.205;4099095.157
387;721864.059;4099082.164
639;721863.782;4099099.597
290;721863.632;4099088.355
583;721863.449;4099097.955
492;721863.264;4099093.923
281;721863.189;4099077.224
498;721863.173;4099084.42
584;721862.951;4099094.366
497;721862.852;4099079.504
579;721862.838;4099096.124
576;721862.833;4099088.24
133;721862.531;4099092.303
234;721862.362;4099076.893
232;721862.307;4099091.811
19;721862.04;4099089.043
125;721861.885;4099088.554
131;721861.789;4099075.526
17;721861.711;4099085.448
394;721861.613;4099083.861
283;721861.523;4099090.762
28;721861.513;4099079.621
124;721861.251;4099083.71
630;721861.114;4099091.174
30;721860.841;4099096.619
392;721860.202;4099095.444
629;721859.485;4099095.843
577;721859.414;4099090.907
496;721859.339;4099077.974
391;721859.069;4099085.629
134;721858.861;4099087.16
581;721858.592;4099083.269
634;721858.351;4099076.358
385;721858.221;4099091.252
393;721857.793;4099081.43
582;721857.687;4099083.878
640;721857.232;4099095.92
635;721856.626;4099083.326
499;721856.563;4099085.599
Y;721892.512;4099219.565
9;721873.626;4099203.555
8;721878.015;4099214.621
7;721877.301;4099218.486
685;721876.914;4099207.508
684;721878.458;4099207.435
683;721885.381;4099221.272
682;721877.102;4099213.694
681;721871.29;4099213.369
680;721891.326;4099219.977
679;721895.61;4099216.845
678;721873.418;4099208.3
677;721874.162;4099209.289
676;721871.546;4099215.497
6;721882.17;4099217.225
575;721878.529;4099209.614
574;721889.787;4099200.237
573;721871.4;4099215.241
572_1;721888.566;4099203.163
572;721888.33;4099203.62
571;721894.194;4099216.962
570;721884.573;4099202.019
569;721877.734;4099208.05
568;721877.055;4099208.895
567;721879.318;4099214.008
566;721878.029;4099215.165
5;721883.381;4099213.458
485;721890.054;4099225.948
484;721891.658;4099220.353
483;721889.293;4099218.601
482;721892.337;4099218.232
481;721886.127;4099227.977
480;721890.769;4099208.293
479;721884.849;4099216.407
478;721892.085;4099206.231
477;721884.742;4099223.984
476;721887.754;4099204.824
475;721879.962;4099214.214
474;721881.854;4099206.011
473;721877.878;4099216.11
472;721873.374;4099213.194
471;721875.714;4099207.884
4;721892.49;4099211.473
380;721889.844;4099218.86
379;721883.699;4099218.586
