"Plot","Week","Plant_sp","Plant_id","N_flowers","Total_N_flowers","prop_ind_inter","prop_ind_intra"
"A","1","CLIB","367",0,168,0.247422680412371,0
"A","1","CLIB","374",0,124,0.247422680412371,0
"A","1","CLIB","375",0,175,0.247422680412371,0
"A","1","CLIB","366",0,237,0.247422680412371,0
"A","1","CLIB","373",0,92,0.247422680412371,0
"A","1","CLIB","379",0,40,0.247422680412371,0
"A","1","CLIB","380",0,8,0.247422680412371,0
"A","1","CLIB","369",0,238,0.247422680412371,0
"A","1","CLIB","370",0,118,0.247422680412371,0
"A","1","CLIB","368",0,61,0.247422680412371,0
"A","1","CLIB","377",0,29,0.247422680412371,0
"A","1","CLIB","371",0,351,0.247422680412371,0
"A","1","CLIB","378",0,14,0.247422680412371,0
"A","1","CLIB","372",0,33,0.247422680412371,0
"A","1","CLIB","376",0,206,0.247422680412371,0
"A","1","HCOM","118",0,481,0.144329896907216,0.666666666666667
"A","1","HCOM","114",0,207,0.144329896907216,0.666666666666667
"A","1","HCOM","109",21,179,0.144329896907216,0.666666666666667
"A","1","HCOM","115",49,502,0.144329896907216,0.666666666666667
"A","1","HCOM","119",9,183,0.144329896907216,0.666666666666667
"A","1","HCOM","112",23,193,0.144329896907216,0.666666666666667
"A","1","HCOM","108",11,116,0.144329896907216,0.666666666666667
"A","1","HCOM","120",0,150,0.144329896907216,0.666666666666667
"A","1","HCOM","110",28,344,0.144329896907216,0.666666666666667
"A","1","HCOM","113",29,659.5,0.144329896907216,0.666666666666667
"A","1","HCOM","116",15,278,0.144329896907216,0.666666666666667
"A","1","HCOM","117",0,817,0.144329896907216,0.666666666666667
"A","1","HCOM","107",47,506,0.144329896907216,0.666666666666667
"A","1","HCOM","111",0,170,0.144329896907216,0.666666666666667
"A","1","HCOM","106",22,626,0.144329896907216,0.666666666666667
"A","1","HHAL","476",0,245.5,0.247422680412371,0
"A","1","HHAL","482",0,51.5,0.247422680412371,0
"A","1","HHAL","477",0,431,0.247422680412371,0
"A","1","HHAL","475",0,15,0.247422680412371,0
"A","1","HHAL","478",0,3,0.247422680412371,0
"A","1","HHAL","471",0,471.666666666667,0.247422680412371,0
"A","1","HHAL","472",0,1243.5,0.247422680412371,0
"A","1","HHAL","484",0,54,0.247422680412371,0
"A","1","HHAL","481",0,7,0.247422680412371,0
"A","1","HHAL","473",0,289.5,0.247422680412371,0
"A","1","HHAL","479",0,151.5,0.247422680412371,0
"A","1","HHAL","474",0,6,0.247422680412371,0
"A","1","HHAL","485",0,2,0.247422680412371,0
"A","1","HHAL","483",0,11,0.247422680412371,0
"A","1","HHAL","480",0,30,0.247422680412371,0
"A","1","HPIC","681",0,4,0.235294117647059,0
"A","1","HPIC","683",0,7,0.235294117647059,0
"A","1","HPIC","682",0,4.5,0.235294117647059,0
"A","1","HPIC","677",0,1.5,0.235294117647059,0
"A","1","HPIC","676",0,6.5,0.235294117647059,0
"A","1","HPIC","678",0,4.5,0.235294117647059,0
"A","1","HPIC","680",0,4,0.235294117647059,0
"A","1","HPIC","684",0,2,0.235294117647059,0
"A","1","HPIC","685",0,5,0.235294117647059,0
"A","1","HPIC","679",0,22,0.235294117647059,0
"A","1","LPED","263",0,514,0.247422680412371,0
"A","1","LPED","269",0,83,0.247422680412371,0
"A","1","LPED","266",0,346,0.247422680412371,0
"A","1","LPED","264",0,532,0.247422680412371,0
"A","1","LPED","268",0,402,0.247422680412371,0
"A","1","LPED","272",0,315,0.247422680412371,0
"A","1","LPED","265",0,510,0.247422680412371,0
"A","1","LPED","275",0,1157,0.247422680412371,0
"A","1","LPED","267",0,399.5,0.247422680412371,0
"A","1","LPED","262",0,697,0.247422680412371,0
"A","1","LPED","271",0,597,0.247422680412371,0
"A","1","LPED","270",0,43,0.247422680412371,0
"A","1","LPED","274",0,444,0.247422680412371,0
"A","1","LPED","261",0,756,0.247422680412371,0
"A","1","LPED","273",0,114.5,0.247422680412371,0
"A","1","ROFF","238",0,111,0.224299065420561,0
"A","1","ROFF","239",0,514,0.224299065420561,0
"A","1","ROFF","236",0,83.5,0.224299065420561,0
"A","1","ROFF","240",0,1019,0.224299065420561,0
"A","1","ROFF","237",0,1352,0.224299065420561,0
"A","1","SGEN","248",0,68.5,0.237623762376238,0
"A","1","SGEN","243",0,231.5,0.237623762376238,0
"A","1","SGEN","Y",0,367,0.237623762376238,0
"A","1","SGEN","250",0,407.5,0.237623762376238,0
"A","1","SGEN","244",0,63,0.237623762376238,0
"A","1","SGEN","249",0,232.5,0.237623762376238,0
"A","1","SGEN","242",0,103.5,0.237623762376238,0
"A","1","SGEN","241",0,310,0.237623762376238,0
"A","1","SGEN","245",0,465,0.237623762376238,0
"A","1","SGEN","246",0,166,0.237623762376238,0
"A","1","SGEN","247",0,377,0.237623762376238,0
"A","1","TMAS","571",0,559,0.237623762376238,0
"A","1","TMAS","568",0,114,0.237623762376238,0
"A","1","TMAS","566",0,91,0.237623762376238,0
"A","1","TMAS","573",0,237.5,0.237623762376238,0
"A","1","TMAS","572",0,1919,0.237623762376238,0
"A","1","TMAS","569",0,244,0.237623762376238,0
"A","1","TMAS","572_1",0,378,0.237623762376238,0
"A","1","TMAS","567",0,131,0.237623762376238,0
"A","1","TMAS","575",0,151,0.237623762376238,0
"A","1","TMAS","574",0,217,0.237623762376238,0
"A","1","TMAS","570",0,302,0.237623762376238,0
"A","1","UPAR","6",1800,1879.5,0.103092783505155,0.933333333333333
"A","1","UPAR","8",600,627,0.103092783505155,0.933333333333333
"A","1","UPAR","11",150,156,0.103092783505155,0.933333333333333
"A","1","UPAR","10",20,21,0.103092783505155,0.933333333333333
"A","1","UPAR","1",1100,1167,0.103092783505155,0.933333333333333
"A","1","UPAR","2",1700,1777,0.103092783505155,0.933333333333333
"A","1","UPAR","9",0,94,0.103092783505155,0.933333333333333
"A","1","UPAR","5",550,643,0.103092783505155,0.933333333333333
"A","1","UPAR","15",5200,5654,0.103092783505155,0.933333333333333
