ID;Plot;Plant_sp;Plant_id;Branch_inflorescence_id;Flowers_produced;Seeds_produced
47;A;LPED;261;;;
48;A;LPED;262;;;
49;A;LPED;263;;;
50;A;LPED;264;;;
51;A;LPED;265;;;
52;A;LPED;266;;;
53;A;LPED;267;;;
54;A;LPED;268;;;
55;A;LPED;269;;;
56;A;LPED;270;;;
57;A;LPED;271;;;
58;A;LPED;272;;;
59;A;LPED;273;;;
60;A;LPED;274;;;
61;A;LPED;275;;;
92;A;TMAS;566;;;
93;A;TMAS;567;;;
94;A;TMAS;568;;;
95;A;TMAS;569;;;
96;A;TMAS;570;;;
97;A;TMAS;571;;;
98;A;TMAS;572;;;
99;A;TMAS;573;;;
100;A;TMAS;574;;;
101;A;TMAS;575;;;
102;A;TMAS;572_1;;;
103;A;HPIC;676;;;
104;A;HPIC;677;;;
105;A;HPIC;678;;;
106;A;HPIC;679;;;
107;A;HPIC;680;;;
108;A;HPIC;681;;;
109;A;HPIC;682;;;
110;A;HPIC;683;;;
111;A;HPIC;684;;;
112;A;HPIC;685;;;
153;B;LPED;276;;;
154;B;LPED;277;;;
155;B;LPED;278;;;
156;B;LPED;279;;;
157;B;LPED;280;;;
158;B;LPED;281;;;
159;B;LPED;282;;;
160;B;LPED;283;;;
161;B;LPED;284;;;
162;B;LPED;285;;;
163;B;LPED;286;;;
164;B;LPED;287;;;
165;B;LPED;288;;;
166;B;LPED;289;;;
167;B;LPED;290;;;
199;B;TMAS;576;;;
200;B;TMAS;577;;;
201;B;TMAS;578;;;
202;B;TMAS;579;;;
203;B;TMAS;580;;;
204;B;TMAS;581;;;
205;B;TMAS;582;;;
206;B;TMAS;583;;;
207;B;TMAS;584;;;
208;B;TMAS;585;;;
209;B;HPIC;626;;;
210;B;HPIC;627;;;
211;B;HPIC;628;;;
212;B;HPIC;629;;;
213;B;HPIC;630;;;
214;B;HPIC;631;;;
215;B;HPIC;632;;;
216;B;HPIC;633;;;
217;B;HPIC;634;;;
218;B;HPIC;635;;;
219;B;HPIC;636;;;
220;B;HPIC;637;;;
221;B;HPIC;638;;;
222;B;HPIC;639;;;
223;B;HPIC;640;;;
224;B;HPIC;688;;;
225;B;HPIC;689;;;
226;B;HPIC;690;;;
227;B;HPIC;691;;;
228;B;HPIC;692;;;
259;C;LPED;291;;;
260;C;LPED;292;;;
261;C;LPED;293;;;
262;C;LPED;294;;;
263;C;LPED;295;;;
264;C;LPED;296;;;
265;C;LPED;297;;;
266;C;LPED;298;;;
267;C;LPED;299;;;
268;C;LPED;300;;;
269;C;LPED;301;;;
270;C;LPED;302;;;
271;C;LPED;303;;;
272;C;LPED;304;;;
273;C;LPED;305;;;
284;C;AVEL;436;1;29;5
;C;AVEL;436;2;12;1
;C;AVEL;436;3;20;6
;C;AVEL;436;4;23;5
;C;AVEL;436;5;20;7
285;C;AVEL;437;1;16;7
;C;AVEL;437;2;39;7
;C;AVEL;437;3;27;6
;C;AVEL;437;4;16;3
;C;AVEL;437;5;36;14
303;C;TMAS;586;;;
304;C;TMAS;587;;;
305;C;TMAS;588;;;
306;C;TMAS;589;;;
307;C;TMAS;590;;;
308;C;HPIC;641;;;
309;C;HPIC;642;;;
310;C;HPIC;643;;;
311;C;HPIC;644;;;
312;C;HPIC;645;;;
313;C;HPIC;646;;;
314;C;HPIC;647;;;
315;C;HPIC;648;;;
316;C;HPIC;649;;;
317;C;HPIC;650;;;
318;C;HPIC;651;;;
319;C;HPIC;652;;;
320;C;HPIC;653;;;
321;C;HPIC;654;;;
322;C;HPIC;655;;;
353;D;LPED;306;;;
354;D;LPED;307;;;
355;D;LPED;308;;;
356;D;LPED;309;;;
357;D;LPED;310;;;
358;D;LPED;311;;;
359;D;LPED;312;;;
360;D;LPED;313;;;
361;D;LPED;314;;;
362;D;LPED;315;;;
363;D;LPED;316;;;
364;D;LPED;317;;;
365;D;LPED;318;;;
366;D;LPED;319;;;
367;D;LPED;320;;;
398;D;AVEL;438;1;43;18
;D;AVEL;438;2;26;13
;D;AVEL;438;3;53;17
;D;AVEL;438;4;33;20
;D;AVEL;438;5;41;21
399;D;AVEL;439;1;30;9
;D;AVEL;439;2;28;11
;D;AVEL;439;3;27;11
;D;AVEL;439;4;16;8
;D;AVEL;439;5;24;8
400;D;AVEL;440;1;11;1
;D;AVEL;440;2;17;5
;D;AVEL;440;3;15;6
;D;AVEL;440;4;25;7
;D;AVEL;440;5;21;3
401;D;AVEL;441;1;12;4
;D;AVEL;441;2;27;11
;D;AVEL;441;3;8;1
;D;AVEL;441;4;43;20
;D;AVEL;441;5;8;2
402;D;AVEL;442;1;47;27
;D;AVEL;442;2;58;19
;D;AVEL;442;3;32;9
;D;AVEL;442;4;53;18
;D;AVEL;442;5;47;23
403;D;AVEL;443;1;50;15
;D;AVEL;443;2;34;20
;D;AVEL;443;3;20;7
;D;AVEL;443;4;44;12
;D;AVEL;443;5;45;22
404;D;AVEL;444;1;31;14
;D;AVEL;444;2;28;17
;D;AVEL;444;3;24;15
;D;AVEL;444;4;19;12
;D;AVEL;444;5;43;25
405;D;AVEL;445;1;18;1
;D;AVEL;445;2;15;5
;D;AVEL;445;3;12;1
;D;AVEL;445;4;20;3
;D;AVEL;445;5;16;1
406;D;AVEL;446;1;22;11
;D;AVEL;446;2;49;36
;D;AVEL;446;3;35;24
;D;AVEL;446;4;19;15
;D;AVEL;446;5;30;27
407;D;AVEL;447;1;35;26
;D;AVEL;447;2;47;38
;D;AVEL;447;3;46;35
;D;AVEL;447;4;42;33
;D;AVEL;447;5;24;16
408;D;AVEL;448;1;58;41
;D;AVEL;448;2;55;36
;D;AVEL;448;3;45;29
;D;AVEL;448;4;44;29
;D;AVEL;448;5;48;26
409;D;AVEL;449;1;19;14
;D;AVEL;449;2;21;13
;D;AVEL;449;3;39;16
;D;AVEL;449;4;25;14
;D;AVEL;449;5;30;14
425;D;TMAS;591;;;
426;D;TMAS;592;;;
427;D;TMAS;593;;;
428;D;TMAS;594;;;
429;D;TMAS;595;;;
430;D;TMAS;596;;;
431;D;TMAS;597;;;
432;D;TMAS;598;;;
433;D;TMAS;599;;;
434;D;TMAS;600;;;
435;D;HPIC;656;;;
436;D;HPIC;657;;;
437;D;HPIC;658;;;
438;D;HPIC;659;;;
439;D;HPIC;660;;;
440;D;HPIC;661;;;
441;D;HPIC;662;;;
442;D;HPIC;663;;;
443;D;HPIC;664;;;
444;D;HPIC;665;;;
