ID;Plot;Plant_sp;Plant_id;Branch_inflorescence_id;Flowers_produced;Fruits_produced;;
1;A;UPAR;1;1;NA;NA;;
1;A;UPAR;1;2;NA;NA;;
1;A;UPAR;1;3;NA;NA;;
1;A;UPAR;1;4;NA;NA;;
1;A;UPAR;1;5;NA;NA;;
2;A;UPAR;2;1;NA;NA;;
2;A;UPAR;2;2;NA;NA;;
2;A;UPAR;2;3;NA;NA;;
2;A;UPAR;2;4;NA;NA;;
2;A;UPAR;2;5;NA;NA;;
3;A;UPAR;3;1;NA;NA;;
3;A;UPAR;3;2;NA;NA;;
3;A;UPAR;3;3;NA;NA;;
3;A;UPAR;3;4;NA;NA;;
3;A;UPAR;3;5;NA;NA;;
4;A;UPAR;4;1;NA;NA;;
4;A;UPAR;4;2;NA;NA;;
4;A;UPAR;4;3;NA;NA;;
4;A;UPAR;4;4;NA;NA;;
4;A;UPAR;4;5;NA;NA;;
5;A;UPAR;5;1;NA;NA;;
5;A;UPAR;5;2;NA;NA;;
5;A;UPAR;5;3;NA;NA;;
5;A;UPAR;5;4;NA;NA;;
5;A;UPAR;5;5;NA;NA;;
6;A;UPAR;6;1;NA;NA;;
6;A;UPAR;6;2;NA;NA;;
6;A;UPAR;6;3;NA;NA;;
6;A;UPAR;6;4;NA;NA;;
6;A;UPAR;6;5;NA;NA;;
7;A;UPAR;7;1;NA;NA;;
7;A;UPAR;7;2;NA;NA;;
7;A;UPAR;7;3;NA;NA;;
7;A;UPAR;7;4;NA;NA;;
7;A;UPAR;7;5;NA;NA;;
8;A;UPAR;8;1;NA;NA;;
8;A;UPAR;8;2;NA;NA;;
8;A;UPAR;8;3;NA;NA;;
8;A;UPAR;8;4;NA;NA;;
8;A;UPAR;8;5;NA;NA;;
9;A;UPAR;9;1;NA;NA;;
9;A;UPAR;9;2;NA;NA;;
9;A;UPAR;9;3;NA;NA;;
9;A;UPAR;9;4;NA;NA;;
9;A;UPAR;9;5;NA;NA;;
10;A;UPAR;10;1;NA;NA;;
10;A;UPAR;10;2;NA;NA;;
10;A;UPAR;10;3;NA;NA;;
10;A;UPAR;10;4;NA;NA;;
10;A;UPAR;10;5;NA;NA;;
11;A;UPAR;11;1;NA;NA;;
11;A;UPAR;11;2;NA;NA;;
11;A;UPAR;11;3;NA;NA;;
11;A;UPAR;11;4;NA;NA;;
11;A;UPAR;11;5;NA;NA;;
12;A;UPAR;12;1;NA;NA;;
12;A;UPAR;12;2;NA;NA;;
12;A;UPAR;12;3;NA;NA;;
12;A;UPAR;12;4;NA;NA;;
12;A;UPAR;12;5;NA;NA;;
13;A;UPAR;13;1;NA;NA;;
13;A;UPAR;13;2;NA;NA;;
13;A;UPAR;13;3;NA;NA;;
13;A;UPAR;13;4;NA;NA;;
13;A;UPAR;13;5;NA;NA;;
14;A;UPAR;14;1;NA;NA;;
14;A;UPAR;14;2;NA;NA;;
14;A;UPAR;14;3;NA;NA;;
14;A;UPAR;14;4;NA;NA;;
14;A;UPAR;14;5;NA;NA;;
15;A;UPAR;15;1;NA;NA;;
15;A;UPAR;15;2;NA;NA;;
15;A;UPAR;15;3;NA;NA;;
15;A;UPAR;15;4;NA;NA;;
15;A;UPAR;15;5;NA;NA;;
16;A;HCOM;106;1;27;17;;
16;A;HCOM;106;2;18;8;;
16;A;HCOM;106;3;21;8;;
16;A;HCOM;106;4;23;10;;
16;A;HCOM;106;5;18;9;;
17;A;HCOM;107;1;15;5;;
17;A;HCOM;107;2;12;3;;
