ID;Plot;Plant_sp;Plant_sp_complete;Plant_id
1;A;UPAR;Ulex_parviflorus;1
2;A;UPAR;Ulex_parviflorus;2
3;A;UPAR;Ulex_parviflorus;3
4;A;UPAR;Ulex_parviflorus;4
5;A;UPAR;Ulex_parviflorus;5
6;A;UPAR;Ulex_parviflorus;6
7;A;UPAR;Ulex_parviflorus;7
8;A;UPAR;Ulex_parviflorus;8
9;A;UPAR;Ulex_parviflorus;9
10;A;UPAR;Ulex_parviflorus;10
11;A;UPAR;Ulex_parviflorus;11
12;A;UPAR;Ulex_parviflorus;12
13;A;UPAR;Ulex_parviflorus;13
14;A;UPAR;Ulex_parviflorus;14
15;A;UPAR;Ulex_parviflorus;15
16;A;HCOM;Halimium_commutatum;106
17;A;HCOM;Halimium_commutatum;107
18;A;HCOM;Halimium_commutatum;108
19;A;HCOM;Halimium_commutatum;109
20;A;HCOM;Halimium_commutatum;110
21;A;HCOM;Halimium_commutatum;111
22;A;HCOM;Halimium_commutatum;112
23;A;HCOM;Halimium_commutatum;113
24;A;HCOM;Halimium_commutatum;114
25;A;HCOM;Halimium_commutatum;115
26;A;HCOM;Halimium_commutatum;116
27;A;HCOM;Halimium_commutatum;117
28;A;HCOM;Halimium_commutatum;118
29;A;HCOM;Halimium_commutatum;119
30;A;HCOM;Halimium_commutatum;120
31;A;ROFF;Rosmarinus_officinalis;236
32;A;ROFF;Rosmarinus_officinalis;237
33;A;ROFF;Rosmarinus_officinalis;238
34;A;ROFF;Rosmarinus_officinalis;239
35;A;ROFF;Rosmarinus_officinalis;240
36;A;SGEN;Stauracanthus_genistoides;241
37;A;SGEN;Stauracanthus_genistoides;242
38;A;SGEN;Stauracanthus_genistoides;243
39;A;SGEN;Stauracanthus_genistoides;244
40;A;SGEN;Stauracanthus_genistoides;245
41;A;SGEN;Stauracanthus_genistoides;246
42;A;SGEN;Stauracanthus_genistoides;247
43;A;SGEN;Stauracanthus_genistoides;248
44;A;SGEN;Stauracanthus_genistoides;249
45;A;SGEN;Stauracanthus_genistoides;250
46;A;SGEN;Stauracanthus_genistoides;Y
47;A;LPED;Lavandula_pedunculata;261
48;A;LPED;Lavandula_pedunculata;262
49;A;LPED;Lavandula_pedunculata;263
50;A;LPED;Lavandula_pedunculata;264
51;A;LPED;Lavandula_pedunculata;265
52;A;LPED;Lavandula_pedunculata;266
53;A;LPED;Lavandula_pedunculata;267
54;A;LPED;Lavandula_pedunculata;268
55;A;LPED;Lavandula_pedunculata;269
