ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;N_predated_seeds;Antagonist_collected;Notes
1;A;UPAR;Ulex_parviflorus;1;1;;;;;
2;A;UPAR;Ulex_parviflorus;2;;;;;;
3;A;UPAR;Ulex_parviflorus;3;;;;;;
4;A;UPAR;Ulex_parviflorus;4;;;;;;
5;A;UPAR;Ulex_parviflorus;5;;;;;;
6;A;UPAR;Ulex_parviflorus;6;;;;;;
7;A;UPAR;Ulex_parviflorus;7;;;;;;
8;A;UPAR;Ulex_parviflorus;8;;;;;;
9;A;UPAR;Ulex_parviflorus;9;;;;;;
10;A;UPAR;Ulex_parviflorus;10;;;;;;
11;A;UPAR;Ulex_parviflorus;11;;;;;;
12;A;UPAR;Ulex_parviflorus;12;;;;;;
13;A;UPAR;Ulex_parviflorus;13;;;;;;
14;A;UPAR;Ulex_parviflorus;14;;;;;;
15;A;UPAR;Ulex_parviflorus;15;;;;;;
16;A;HCOM;Halimium_commutatum;106;;;;;;
17;A;HCOM;Halimium_commutatum;107;;;;;;
18;A;HCOM;Halimium_commutatum;108;;;;;;
19;A;HCOM;Halimium_commutatum;109;;;;;;
20;A;HCOM;Halimium_commutatum;110;;;;;;
21;A;HCOM;Halimium_commutatum;111;;;;;;
22;A;HCOM;Halimium_commutatum;112;;;;;;
23;A;HCOM;Halimium_commutatum;113;;;;;;
24;A;HCOM;Halimium_commutatum;114;;;;;;
25;A;HCOM;Halimium_commutatum;115;;;;;;
26;A;HCOM;Halimium_commutatum;116;;;;;;
27;A;HCOM;Halimium_commutatum;117;;;;;;
28;A;HCOM;Halimium_commutatum;118;;;;;;
29;A;HCOM;Halimium_commutatum;119;;;;;;
30;A;HCOM;Halimium_commutatum;120;;;;;;
31;A;ROFF;Rosmarinus_officinalis;236;1;2;;;;
;;;;;2;2;;;;
;;;;;3;4;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
32;A;ROFF;Rosmarinus_officinalis;237;1;2;;;;
;;;;;2;1;;;;
;;;;;3;0;;;;
;;;;;4;1;;;;
;;;;;5;0;;;;
;;;;;6;0;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
33;A;ROFF;Rosmarinus_officinalis;238;1;3;;;;
;;;;;2;0;;;;
;;;;;3;2;;;;
;;;;;4;1;;;;
;;;;;5;0;;;;
;;;;;6;1;;;;
;;;;;7;0;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
34;A;ROFF;Rosmarinus_officinalis;239;1;1;;;;
;;;;;2;1;;;;
;;;;;3;3;;;;
;;;;;4;0;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
35;A;ROFF;Rosmarinus_officinalis;240;1;1;;;;
;;;;;2;2;;;;
;;;;;3;0;;;;
;;;;;4;0;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;0;;;;
;;;;;8;1;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
36;A;SGEN;Stauracanthus_genistoides;241;;;;;;
37;A;SGEN;Stauracanthus_genistoides;242;;;;;;
38;A;SGEN;Stauracanthus_genistoides;243;;;;;;
39;A;SGEN;Stauracanthus_genistoides;244;;;;;;
40;A;SGEN;Stauracanthus_genistoides;245;;;;;;
41;A;SGEN;Stauracanthus_genistoides;246;;;;;;
42;A;SGEN;Stauracanthus_genistoides;247;;;;;;
43;A;SGEN;Stauracanthus_genistoides;248;;;;;;
44;A;SGEN;Stauracanthus_genistoides;249;;;;;;
45;A;SGEN;Stauracanthus_genistoides;250;;;;;;
46;A;SGEN;Stauracanthus_genistoides;Y;;;;;;
47;A;LPED;Lavandula_pedunculata;261;1;1;;;;
;;;;;2;4;;;;
;;;;;3;1;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;1;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;3;;;;
48;A;LPED;Lavandula_pedunculata;262;1;3;;;;
;;;;;2;2;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;3;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;1;;;;
49;A;LPED;Lavandula_pedunculata;263;1;3;;;;
;;;;;2;2;;;;
;;;;;3;3;;;;
;;;;;4;1;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;4;;;;
;;;;;10;2;;;;
50;A;LPED;Lavandula_pedunculata;264;1;1;;;;
;;;;;2;2;;;;
;;;;;3;3;;;;
;;;;;4;2;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;3;;;;
;;;;;9;2;;;;
;;;;;10;1;;;;
51;A;LPED;Lavandula_pedunculata;265;1;3;;;;
;;;;;2;3;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;3;;;;
;;;;;6;2;;;;
;;;;;7;3;;;;
;;;;;8;3;;;;
;;;;;9;1;;;;
;;;;;10;4;;;;
52;A;LPED;Lavandula_pedunculata;266;1;3;;;;
;;;;;2;4;;;;
;;;;;3;1;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;2;;;;
;;;;;8;1;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
53;A;LPED;Lavandula_pedunculata;267;1;3;;;;
;;;;;2;3;;;;
;;;;;3;4;;;;
;;;;;4;4;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;4;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;3;;;;
54;A;LPED;Lavandula_pedunculata;268;1;4;;;;
;;;;;2;2;;;;
;;;;;3;4;;;;
;;;;;4;1;;;;
;;;;;5;3;;;;
;;;;;6;4;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
55;A;LPED;Lavandula_pedunculata;269;1;1;;;;
;;;;;2;3;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
56;A;LPED;Lavandula_pedunculata;270;1;3;;;;
;;;;;2;3;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;1;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;1;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
57;A;LPED;Lavandula_pedunculata;271;1;2;;;;
;;;;;2;2;;;;
;;;;;3;3;;;;
;;;;;4;4;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;1;;;;
;;;;;9;4;;;;
;;;;;10;1;;;;
58;A;LPED;Lavandula_pedunculata;272;;;;;;
59;A;LPED;Lavandula_pedunculata;273;1;1;;;;
;;;;;2;3;;;;
;;;;;3;1;;;;
;;;;;4;3;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;1;;;;
;;;;;9;4;;;;
;;;;;10;2;;;;
60;A;LPED;Lavandula_pedunculata;274;1;1;;;;
;;;;;2;2;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;1;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;2;;;;
61;A;LPED;Lavandula_pedunculata;275;1;3;;;;
;;;;;2;2;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;3;;;;
;;;;;9;2;;;;
;;;;;10;3;;;;
62;A;CLIB;Cistus_libanotis;366;1;20;;;;
;;;;;2;10;;;;
;;;;;3;21;;;;
;;;;;4;23;;;;
;;;;;5;11;;;;
;;;;;6;6;;;;
;;;;;7;16;;;;
;;;;;8;16;;;;
;;;;;9;18;;;;
;;;;;10;4;;;;
63;A;CLIB;Cistus_libanotis;367;1;20;;;;
;;;;;2;23;;;;
;;;;;3;20;;;;
;;;;;4;20;;;;
;;;;;5;17;;;;
;;;;;6;21;;;;
;;;;;7;15;;;;
;;;;;8;11;;;;
;;;;;9;7;;;;
;;;;;10;6;;;;
64;A;CLIB;Cistus_libanotis;368;1;20;;;;
;;;;;2;21;;;;
;;;;;3;8;;;;
;;;;;4;21;;;;
;;;;;5;8;;;;
;;;;;6;22;;;;
;;;;;7;19;;;;
;;;;;8;18;;;;
;;;;;9;16;;;;
;;;;;10;15;;;;
65;A;CLIB;Cistus_libanotis;369;1;13;;;;
;;;;;2;18;;;;
;;;;;3;20;;;;
;;;;;4;18;;;;
;;;;;5;15;;;;
;;;;;6;12;;;;
;;;;;7;21;;;;
;;;;;8;10;;;;
;;;;;9;13;;;;
;;;;;10;16;;;;
66;A;CLIB;Cistus_libanotis;370;1;23;;;;
;;;;;2;27;;;;
;;;;;3;21;;;;
;;;;;4;18;;;;
;;;;;5;17;;;;
;;;;;6;25;;;;
;;;;;7;14;;;;
;;;;;8;13;;;;
;;;;;9;13;;;;
;;;;;10;8;;;;
67;A;CLIB;Cistus_libanotis;371;1;13;;;;
;;;;;2;8;;;;
;;;;;3;11;;;;
;;;;;4;11;;;;
;;;;;5;10;;;;
;;;;;6;13;;;;
;;;;;7;11;;;;
;;;;;8;7;;;;
;;;;;9;5;;;;
;;;;;10;3;;;;
68;A;CLIB;Cistus_libanotis;372;1;18;;;;
;;;;;2;20;;;;
;;;;;3;17;;;;
;;;;;4;20;;;;
;;;;;5;18;;;;
;;;;;6;4;;;;
;;;;;7;24;;;;
;;;;;8;14;;;;
;;;;;9;24;;;;
;;;;;10;3;;;;
69;A;CLIB;Cistus_libanotis;373;1;10;;;;
;;;;;2;20;;;;
;;;;;3;16;;;;
;;;;;4;13;;;;
;;;;;5;20;;;;
;;;;;6;11;;;;
;;;;;7;18;;;;
;;;;;8;8;;;;
;;;;;9;5;;;;
;;;;;10;6;;;;
70;A;CLIB;Cistus_libanotis;374;1;16;;;;
;;;;;2;13;;;;
;;;;;3;4;;;;
;;;;;4;17;;;;
;;;;;5;17;;;;
;;;;;6;3;;;;
;;;;;7;17;;;;
;;;;;8;9;;;;
;;;;;9;3;;;;
;;;;;10;8;;;;
71;A;CLIB;Cistus_libanotis;375;1;20;;;;
;;;;;2;22;;;;
;;;;;3;29;;;;
;;;;;4;18;;;;
;;;;;5;21;;;;
;;;;;6;12;;;;
;;;;;7;7;;;;
;;;;;8;5;;;;
;;;;;9;17;;;;
;;;;;10;9;;;;
72;A;CLIB;Cistus_libanotis;376;1;18;;;;
;;;;;2;13;;;;
;;;;;3;13;;;;
;;;;;4;18;;;;
;;;;;5;23;;;;
;;;;;6;21;;;;
;;;;;7;21;;;;
;;;;;8;17;;;;
;;;;;9;15;;;;
;;;;;10;19;;;;
73;A;CLIB;Cistus_libanotis;377;1;15;;;;
;;;;;2;18;;;;
;;;;;3;18;;;;
;;;;;4;23;;;;
;;;;;5;19;;;;
;;;;;6;12;;;;
;;;;;7;18;;;;
;;;;;8;6;;;;
;;;;;9;19;;;;
;;;;;10;18;;;;
