ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;predated_seeds;Antagonist_collected;Notes;Num_fruit;Num_seeds;Seeds_depredadas;Promedio
1;A;UPAR;Ulex_parviflorus;1;;;;;;;;;;
2;A;UPAR;Ulex_parviflorus;2;;;;;;;;;;
3;A;UPAR;Ulex_parviflorus;3;;;;;;;;;;
4;A;UPAR;Ulex_parviflorus;4;;;;;;;;;;
5;A;UPAR;Ulex_parviflorus;5;;;;;;;;;;
6;A;UPAR;Ulex_parviflorus;6;;;;;;;;;;
7;A;UPAR;Ulex_parviflorus;7;;;;;;;;;;
8;A;UPAR;Ulex_parviflorus;8;;;;;;;;;;
9;A;UPAR;Ulex_parviflorus;9;;;;;;;;;;
10;A;UPAR;Ulex_parviflorus;10;;;;;;;;;;
11;A;UPAR;Ulex_parviflorus;11;;;;;;;;;;
12;A;UPAR;Ulex_parviflorus;12;;;;;;;;;;
13;A;UPAR;Ulex_parviflorus;13;;;;;;;;;;
14;A;UPAR;Ulex_parviflorus;14;;;;;;;;;;
15;A;UPAR;Ulex_parviflorus;15;;;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;1;3;;;;Blanquecina;;;;
16;A;HCOM;Halimium_commutatum;106;2;3;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;3;3;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;4;6;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;5;3;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;6;1;;;;Más pequeña;;;;
16;A;HCOM;Halimium_commutatum;106;7;4;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;8;5;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;9;4;;;;;;;;
16;A;HCOM;Halimium_commutatum;106;10;2;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;1;4;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;2;1;;;;Blanquecina;;;;
17;A;HCOM;Halimium_commutatum;107;3;1;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;4;2;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;5;3;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;6;3;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;7;3;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;8;2;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;9;2;;;;;;;;
17;A;HCOM;Halimium_commutatum;107;10;3;;;;;;;;
