"","Plot","Plant_sp","Plant_id","Mean_N_seeds","Mean_fruit_set","N_flowers","N_seeds_plant","N_seeds_sc"
"1","A","CLIB","366",14.5,0.624957264957265,442,4005.35111111111,0.366448441883551
"2","A","CLIB","367",16,0.78,201,2508.48,0.228773210207374
"3","A","CLIB","368",16.8,0.873636363636364,71,1042.07345454545,0.093899967362132
"4","A","CLIB","369",15.6,0.761904761904762,409,4861.25714285714,0.445170691474034
"5","A","CLIB","370",17.9,0.773076923076923,212,2933.67230769231,0.26788041792482
"6","A","CLIB","371",9.2,1.14285714285714,630,6624,0.607299567795607
"7","A","CLIB","372",16.2,0.92,33,491.832,0.0432913216543862
"8","A","CLIB","373",12.7,0.863095238095238,159,1742.84821428571,0.158353965227347
"9","A","CLIB","374",10.7,0.775277777777778,153,1269.20725,0.11479067577288
"10","A","CLIB","375",16,0.854191919191919,252,3444.10181818182,0.314827346480905
"11","A","CLIB","376",17.8,0.783333333333333,345,4810.45,0.440497687157403
"12","A","CLIB","377",16.6,0.941666666666667,29,453.318333333333,0.0397490140090095
"13","A","CLIB","378",15.3,0.998888888888889,14,213.962,0.0177341335024535
"14","A","CLIB","379",13,0.77,40,400.4,0.034881832227289
"15","A","CLIB","380",13.3,0.576915113871636,8,61.383768115942,0.00370069851432924
"16","A","HCOM","106",3.4,0.477961812744421,827,1343.93302507476,0.409905405015556
"17","A","HCOM","107",2.4,0.321428571428571,506,390.342857142857,0.118693732832958
"18","A","HCOM","108",2,0.208419913419913,116,48.3534199134199,0.0142554539648375
"19","A","HCOM","109",2.4,0.293030303030303,190,133.621818181818,0.0402951025257328
"20","A","HCOM","110",2.7,0.326776878092668,377,332.626184210526,0.101067954587056
"21","A","HCOM","111",3.9,0.378205128205128,170,250.75,0.0760642356754107
"22","A","HCOM","112",3.5,0.184275592828224,193,124.478162955466,0.0375027717972165
"23","A","HCOM","113",3.2,0.351701680672269,1066,1199.72477310924,0.365866437742555
"24","A","HCOM","114",3.3,0.506230158730159,253,422.65155952381,0.128560310281855
"25","A","HCOM","115",2.9,0.28167701863354,601,490.934875776398,0.149412977787031
"26","A","HCOM","116",2.8,0.191098901098901,323,172.829846153846,0.0522686271830588
"27","A","HCOM","117",3.7,0.380165501165501,1403,1973.47713310023,0.602158427934611
"28","A","HCOM","118",3.7,0.382636528625639,481,680.97822999505,0.207449275591179
"29","A","HCOM","119",2.4,0.33250773993808,183,146.037399380805,0.0440866287847724
